"customer_name","customer_segment"
"Aaron Bergman","Consumer"
"Adam Shillingsburg","Consumer"
"Adrian Barton","Consumer"
"Aimee Bixby","Consumer"
"Alan Barnes","Consumer"
"Alan Hwang","Consumer"
"Alan Shonely","Consumer"
"Alejandro Grove","Consumer"
"Alex Avila","Consumer"
"Alex Grayson","Consumer"
"Allen Armold","Consumer"
"Allen Goldenen","Consumer"
"Amy Cox","Consumer"
"Amy Hunt","Consumer"
"Andrew Allen","Consumer"
"Andrew Roberts","Consumer"
"Andy Reiter","Consumer"
"Anemone Ratner","Consumer"
"Angele Hood","Consumer"
"Anna Andreadi","Consumer"
"Anna Chung","Consumer"
"Anna Gayman","Consumer"
"Anne McFarland","Consumer"
"Annie Thurman","Consumer"
"Annie Zypern","Consumer"
"Anthony Witt","Consumer"
"Arianne Irving","Consumer"
"Art Ferguson","Consumer"
"Art Foster","Consumer"
"Arthur Gainer","Consumer"
"Arthur Prichep","Consumer"
"Ashley Jarboe","Consumer"
"Astrea Jones","Consumer"
"Barry Gonzalez","Consumer"
"Barry Weirich","Consumer"
"Bart Folk","Consumer"
"Becky Martin","Consumer"
"Becky Pak","Consumer"
"Ben Wallace","Consumer"
"Benjamin Patterson","Consumer"
"Berenike Kampe","Consumer"
"Beth Paige","Consumer"
"Bill Donatelli","Consumer"
"Bobby Elias","Consumer"
"Bobby Odegard","Consumer"
"Bobby Trafton","Consumer"
"Bradley Drucker","Consumer"
"Bradley Nguyen","Consumer"
"Brian Dahlen","Consumer"
"Brian DeCherney","Consumer"
"Brian Derr","Consumer"
"Brian Stugart","Consumer"
"Brian Thompson","Consumer"
"Brosina Hoffman","Consumer"
"Bruce Degenhardt","Consumer"
"Bruce Geld","Consumer"
"Bruce Stewart","Consumer"
"Bryan Davis","Consumer"
"Bryan Mills","Consumer"
"Cari Schnelling","Consumer"
"Carl Ludwig","Consumer"
"Carlos Daly","Consumer"
"Carlos Meador","Consumer"
"Carlos Soltero","Consumer"
"Carol Darley","Consumer"
"Carol Triggs","Consumer"
"Caroline Jumper","Consumer"
"Cassandra Brandow","Consumer"
"Chad McGuire","Consumer"
"Chad Sievert","Consumer"
"Charles Crestani","Consumer"
"Charles McCrossin","Consumer"
"Charlotte Melton","Consumer"
"Chloris Kastensmidt","Consumer"
"Chris Cortes","Consumer"
"Chris McAfee","Consumer"
"Christina Anderson","Consumer"
"Christina DeMoss","Consumer"
"Christina VanderZanden","Consumer"
"Christine Sundaresam","Consumer"
"Christopher Conant","Consumer"
"Christopher Martinez","Consumer"
"Christy Brittain","Consumer"
"Chuck Magee","Consumer"
"Chuck Sachs","Consumer"
"Cindy Chapman","Consumer"
"Cindy Stewart","Consumer"
"Claire Gute","Consumer"
"Clay Cheatham","Consumer"
"Clay Ludtke","Consumer"
"Clytie Kelty","Consumer"
"Corey-Lock","Consumer"
"Craig Carreira","Consumer"
"Craig Carroll","Consumer"
"Craig Reiter","Consumer"
"Cynthia Arntzen","Consumer"
"Dan Campbell","Consumer"
"Dan Lawera","Consumer"
"Dana Kaydos","Consumer"
"Daniel Lacy","Consumer"
"Darren Koutras","Consumer"
"Darren Powers","Consumer"
"Darrin Martin","Consumer"
"Dave Brooks","Consumer"
"Dave Kipp","Consumer"
"David Flashing","Consumer"
"David Philippe","Consumer"
"Dean Braden","Consumer"
"Debra Catini","Consumer"
"Delfina Latchford","Consumer"
"Denise Leinenbach","Consumer"
"Dennis Kane","Consumer"
"Denny Blanton","Consumer"
"Denny Ordway","Consumer"
"Dianna Vittorini","Consumer"
"Don Weiss","Consumer"
"Dorothy Dickinson","Consumer"
"Doug Bickford","Consumer"
"Doug Jacobs","Consumer"
"Doug O'Connell","Consumer"
"Duane Benoit","Consumer"
"Duane Noonan","Consumer"
"Ed Jacobs","Consumer"
"Edward Nazzal","Consumer"
"Emily Burns","Consumer"
"Emily Grady","Consumer"
"Emily Phan","Consumer"
"Eric Barreto","Consumer"
"Eric Hoffmann","Consumer"
"Eric Murdock","Consumer"
"Erica Hackney","Consumer"
"Erica Smith","Consumer"
"Erin Creighton","Consumer"
"Erin Mull","Consumer"
"Eugene Barchas","Consumer"
"Eva Jacobs","Consumer"
"Evan Bailliet","Consumer"
"Evan Henry","Consumer"
"Frank Olsen","Consumer"
"Frank Preis","Consumer"
"Fred Harton","Consumer"
"Fred McMath","Consumer"
"Gary Hwang","Consumer"
"Gary McGarr","Consumer"
"Gary Zandusky","Consumer"
"Gene McClure","Consumer"
"George Ashbrook","Consumer"
"Giulietta Baptist","Consumer"
"Giulietta Weimer","Consumer"
