"customer_id","customer_name","total_amount_per_customer"
"456","Lela Donovan","5"
"738","Thais Sissman","5"
"546","Mitch Gastineau","16"
"124","Carl Jackson","17"
"657","Roy Skaria","22"
"626","Ricardo Emerson","48"
"725","Susan Gilcrest","49"
"448","Larry Blacks","50"
"9","Adrian Shami","58"
"355","Jasper Cacioppo","72"
"292","Fred Wasserman","81"
"38","Anemone Ratner","88"
"419","Karen Seio","89"
"649","Roland Murray","98"
"169","Clay Cheatham","113"
"248","Ed Ludwig","125"
"95","Bobby Odegard","131"
"613","Phillip Breyer","133"
"310","Greg Hansen","147"
"529","Michael Oakman","154"
"229","Dianna Arnett","157"
"605","Pete Takahito","160"
"54","Anthony O'Donnell","161"
"550","Muhammed Lee","162"
"51","Anthony Garverick","170"
"383","Joel Jenkins","195"
"26","Allen Goldenen","201"
"333","Hilary Holden","219"
"642","Robert Barroso","221"
"316","Guy Thornton","227"
"270","Erin Mull","228"
"315","Guy Phonely","237"
"594","Paul Lucas","239"
"666","Sally Matthias","243"
"318","Harold Dahlen","251"
"34","Andrew Roberts","264"
"98","Brad Norvell","266"
"237","Dorothy Dickinson","269"
"72","Bart Folk","274"
"571","Nicole Brennan","274"
"719","Stuart Calhoun","278"
"722","Sung Chung","281"
"162","Chuck Magee","287"
"449","Larry Hughes","288"
"371","Jill Matthias","305"
"361","Jennifer Halladay","310"
"467","Lisa Hazard","318"
"104","Brendan Dodson","321"
"450","Larry Tron","330"
"235","Don Weiss","343"
"324","Heather Jas","359"
"20","Aleksandra Gannaway","367"
"279","Evan Minnotte","367"
"481","Lycoris Saunders","368"
"521","Melanie Seite","370"
"564","Neil Französisch","377"
"787","Vivian Mathis","381"
"354","Jason Klamczynski","384"
"71","Barry Weirich","386"
"400","Joy Daniels","386"
"495","Mark Haberlin","400"
"99","Brad Thomas","415"
"705","Sonia Sunley","418"
"785","Vivek Grady","427"
"701","Shui Tom","432"
"750","Tim Taslimi","439"
"437","Kelly Williams","449"
"443","Khloe Miller","454"
"269","Erin Creighton","462"
"395","Joni Sundaresam","471"
"174","Corey Roper","475"
"501","MaryBeth Skach","476"
"700","Shirley Schmidt","478"
"37","Andy Yotov","496"
"637","Rob Beeghly","528"
"387","John Huston","529"
"123","Cari Schnelling","538"
"163","Chuck Sachs","551"
"128","Carlos Meador","565"
"565","Neil Knudson","571"
"109","Brian Derr","583"
"221","Denise Leinenbach","585"
"16","Alan Shonely","586"
"488","Maria Zettner","594"
"65","Barbara Fisher","600"
"96","Bobby Trafton","605"
"620","Ralph Ritter","615"
"64","Astrea Jones","629"
"502","Mathew Reese","640"
"131","Carol Darley","641"
"399","Joy Bell-","644"
"477","Lori Olson","644"
"56","Anthony Witt","649"
"44","Anna Chung","658"
"118","Bryan Davis","658"
"84","Berenike Kampe","659"
"22","Alex Grayson","662"
"754","Toby Ritter","676"
"262","Eric Hoffmann","684"
"606","Peter Bühler","689"
"403","Julia Dunbar","696"
"362","Jennifer Jackson","710"
"585","Patricia Hirasaki","730"
"603","Pete Armstrong","730"
"39","Angele Hood","738"
"331","Henry MacAllister","738"
"636","Ritsa Hightower","740"
"586","Patrick Bzostek","741"
"535","Michelle Lonsdale","742"
"767","Tracy Collins","742"
"66","Barry Blumstein","744"
"338","Ivan Gibson","744"
"239","Dorris liebe","756"
"471","Liz Pelletier","757"
"716","Steven Ward","759"
"670","Sandra Flanagan","764"
"551","Muhammed MacIntyre","774"
"525","Michael Granlund","777"
"322","Harry Greene","785"
"85","Beth Fritzler","791"
"508","Matthew Clasen","795"
"209","David Kendrick","798"
"105","Brendan Murry","809"
"24","Alice McCarthy","813"
"745","Thomas Brumley","816"
"265","Erica Hackney","827"
"756","Todd Boyes","834"
"42","Ann Steele","835"
"144","Charles Sheldon","844"
"784","Vivek Gonzalez","846"
"779","Vicky Freymann","847"
"531","Michael Stewart","855"
"406","Julie Creighton","858"
"59","Art Foster","862"
"379","Jocasta Rupert","864"
"376","Jim Mitchum","865"
"629","Richard Eichhorn","878"
"319","Harold Engle","884"
"665","Sally Knutson","884"
"141","Chad Sievert","885"
"663","Ryan Crowe","886"
"1","Aaron Bergman","887"
"329","Henia Zydlo","887"
"394","Joni Blumstein","901"
"704","Sonia Cooley","902"
"135","Catherine Glotzbach","906"
"426","Katrina Bavinger","909"
"17","Alejandro Ballentine","914"
"499","Mary O'Rourke","922"
"278","Evan Henry","925"
"28","Alyssa Crouse","926"
"263","Eric Murdock","934"
"510","Maureen Fritzler","936"
"261","Eric Barreto","944"
"655","Roy Französisch","947"
"120","Bryan Spruell","950"
"352","Jason Fortune-","955"
"617","Rachel Payne","955"
"393","Jonathan Howell","959"
"724","Sung Shariari","966"
"654","Roy Collins","968"
"10","Aimee Bixby","969"
"661","Russell D'Ascenzo","971"
"755","Toby Swindell","974"
"70","Barry Pond","983"
"439","Ken Brennan","984"
"780","Victor Preis","994"
"116","Bruce Geld","1006"
"482","Lynn Smith","1007"
"621","Randy Bradley","1008"
"479","Luke Schmidt","1009"
"689","Sean Wendt","1019"
"748","Tiffany House","1024"
"543","Mike Kennedy","1031"
"742","Theresa Coyne","1038"
"272","Eudokia Martin","1041"
"244","Duane Huffman","1042"
"726","Susan MacKendrick","1044"
"199","Darren Powers","1051"
"23","Alex Russell","1056"
"25","Allen Armold","1056"
"358","Jenna Caffey","1057"
"612","Phillina Ober","1057"
"786","Vivek Sundaresam","1057"
"210","David Philippe","1059"
"599","Pauline Chand","1062"
